"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"spec/admin_form","012: External Catalogs Tab","","0","1","0","0","0"
"spec/admin_form","003: Collections Tab","","0","1","0","0","0"
"spec/admin_form","008: Metadata Tab","","0","1","0","0","0"
"spec/admin_form","006: Sitewide Settings Tab","","0","4","0","0","0"
"spec/admin_form","007: Logging Tab","","0","1","0","0","0"
"spec/admin_form","011: Storage Tab","","0","1","0","0","0"
"spec/admin_form","004: Patron Authentication Tab","","0","1","0","0","0"
"spec/admin_form","005: Admin Authentication Tab","","0","1","0","1","0"
"spec/admin_form","010: CDN Tab","","0","1","0","0","0"
"spec/admin_form","009: Analytics Tab","","0","1","0","0","0"
"spec/admin_form","002: Admins Tab","","0","1","0","0","0"
"spec/admin_form","001: Libraries Tab","","0","1","0","0","0"
