"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:31"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/010_cdn_tab_spec.rb:31"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:31"
"broken","Wed May 19 20:25:36 GMT 2021","Wed May 19 20:29:26 GMT 2021","230232","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:28"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/005_admin_auth_tab_spec.rb:31"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:31"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/009_analytics_tab_spec.rb:31"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:31"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:31"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/012_external_catalog_tab_spec.rb:31"
"skipped","Wed May 19 20:33:15 GMT 2021","Wed May 19 20:33:15 GMT 2021","0","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:31"
"broken","Wed May 19 20:29:26 GMT 2021","Wed May 19 20:33:15 GMT 2021","228917","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:28"
